Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,MA125,Fear_Greed_Index
2003-01-06 00:00:00-05:00,28.99399454009246,29.534581226755975,28.99399454009246,29.33325958251953,2917800,0.0,0.0,0.0,28.305543365478517,54.85370525043871
2003-01-07 00:00:00-05:00,29.34070085040842,29.415265967418662,28.945515685543466,29.180389404296875,2988600,0.0,0.0,0.0,28.292233139038085,63.15730713107887
2003-01-08 00:00:00-05:00,29.04245715373857,29.090922360266724,28.78148343672675,28.88960075378418,3288400,0.0,0.0,0.0,28.27851953125,56.759461440252146
2003-01-09 00:00:00-05:00,29.07228067172714,29.474921005182704,29.07228067172714,29.31460952758789,3828600,0.0,0.0,0.0,28.270306610107422,53.594629769900095
2003-01-10 00:00:00-05:00,29.01635577077672,29.545755373688312,28.971616694503115,29.377988815307617,2698000,0.0,0.0,0.0,28.264109237670898,47.673036233910736
2003-01-13 00:00:00-05:00,29.571843845504137,29.687416203427635,29.146832699962577,29.445087432861328,1759000,0.0,0.0,0.0,28.260046279907225,66.75109212970318
2003-01-14 00:00:00-05:00,29.4152760930267,29.620323835559514,29.273603744123623,29.463741302490234,1566400,0.0,0.0,0.0,28.25391390991211,59.947246351418116
2003-01-15 00:00:00-05:00,29.515930698082254,29.601679887176477,29.135658487329145,29.396629333496094,2381600,0.0,0.0,0.0,28.255675811767578,64.27724585912239
2003-01-16 00:00:00-05:00,29.452548851526107,29.638957388561085,29.221401241630062,29.355615615844727,2323000,0.0,0.0,0.0,28.26199073791504,64.37728847652384
2003-01-17 00:00:00-05:00,29.034994957412152,29.44136707875034,28.66963578932187,28.803850173950195,2416600,0.0,0.0,0.0,28.268447341918947,58.42962612557392
2003-01-21 00:00:00-05:00,28.856041808887802,28.90823597117814,28.36392338988711,28.38629150390625,2134600,0.0,0.0,0.0,28.28327836608887,58.53679629460529
2003-01-22 00:00:00-05:00,28.248356100639036,28.46459074480613,28.13278368657735,28.140241622924805,3258600,0.0,0.0,0.0,28.283568252563477,61.900247307213675
2003-01-23 00:00:00-05:00,28.315473556518555,28.53543724848932,28.173804002693046,28.315473556518555,2213000,0.0,0.0,0.0,28.287034881591797,58.94151650897833
2003-01-24 00:00:00-05:00,28.334099691921384,28.334099691921384,27.730134963989258,27.730134963989258,3565000,0.0,0.0,0.0,28.28226892089844,51.98811666112686
2003-01-27 00:00:00-05:00,27.588483322195632,27.8159021284823,27.264131210515327,27.308870315551758,3477400,0.0,0.0,0.0,28.265405838012697,52.28161583902244
2003-01-28 00:00:00-05:00,27.513904033374008,27.756232880943397,27.100076811052883,27.532543182373047,2633200,0.0,0.0,0.0,28.2496220703125,53.19095860035681
2003-01-29 00:00:00-05:00,27.4169545848503,27.88670466529327,27.021769589443522,27.74130630493164,3905200,0.0,0.0,0.0,28.239176696777342,56.55705332452409
2003-01-30 00:00:00-05:00,27.83825426447203,27.890448434841314,27.204466284634172,27.290212631225586,3346000,0.0,0.0,0.0,28.228524658203124,57.79748219957102
2003-01-31 00:00:00-05:00,27.159730448459275,27.677946090698242,27.08516815170505,27.677946090698242,5831000,0.0,0.0,0.0,28.22816311645508,56.78895325272488
2003-02-03 00:00:00-05:00,27.737593509361687,27.767419560763415,27.308853264660492,27.43933868408203,2648800,0.0,0.0,0.0,28.231809463500976,61.49123462252638
2003-02-04 00:00:00-05:00,27.234290980524985,27.58846609672186,27.010598439380836,27.43933868408203,4280400,0.0,0.0,0.0,28.226048202514647,42.37470792419583
2003-02-05 00:00:00-05:00,27.558644002728954,27.58847005841369,27.10008048514533,27.234294891357422,3436600,0.0,0.0,0.0,28.21778886413574,45.52179988447001
